trial,Pos.,Neu.,Neg.,Summary
Susan Kare T1,0.0,1.0,0.0,0.0
Susan Kare T2,0.0,1.0,0.0,0.0
Susan Kare T3,0.0,1.0,0.0,0.0
Susan Kare T4,0.0,1.0,0.0,0.0
Susan Kare T5,0.0,0.756,0.244,-0.6705
Susan Kare T6,0.108,0.892,0.0,0.3182
Susan Kare T7,0.0,1.0,0.0,0.0
Susan Kare T8,0.2,0.8,0.0,0.4588
Susan Kare T9,0.0,1.0,0.0,0.0
Susan Kare T10,0.219,0.781,0.0,0.6369
Susan Kare T11,0.0,1.0,0.0,0.0
Susan Kare T12,0.219,0.781,0.0,0.6369
Susan Kare T13,0.0,1.0,0.0,0.0
Susan Kare T14,0.0,1.0,0.0,0.0
Susan Kare T15,0.0,1.0,0.0,0.0
Susan Kare T16,0.0,1.0,0.0,0.0
Susan Kare T17,0.0,0.756,0.244,-0.6705
Susan Kare T18,0.108,0.892,0.0,0.3182
Susan Kare T19,0.0,1.0,0.0,0.0
Susan Kare T20,0.2,0.8,0.0,0.4588
Susan Kare T21,0.0,1.0,0.0,0.0
Susan Kare T22,0.0,1.0,0.0,0.0
Susan Kare T23,0.219,0.781,0.0,0.6369
Susan Kare T24,0.0,1.0,0.0,0.0
Susan Kare T25,0.0,1.0,0.0,0.0
Susan Kare T26,0.0,1.0,0.0,0.0
Susan Kare T27,0.0,1.0,0.0,0.0
Susan Kare T28,0.0,0.756,0.244,-0.6705
Susan Kare T29,0.108,0.892,0.0,0.3182
Susan Kare T30,0.0,1.0,0.0,0.0
Susan Kare T31,0.2,0.8,0.0,0.4588
Susan Kare T32,0.0,1.0,0.0,0.0
Susan Kare T33,0.0,1.0,0.0,0.0
Susan Kare T34,0.219,0.781,0.0,0.6369
Susan Kare T35,0.0,1.0,0.0,0.0
Susan Kare T36,0.0,1.0,0.0,0.0
Susan Kare T37,0.0,1.0,0.0,0.0
Susan Kare T38,0.0,1.0,0.0,0.0
Susan Kare T39,0.0,0.756,0.244,-0.6705
Susan Kare T40,0.108,0.892,0.0,0.3182
Susan Kare T41,0.0,1.0,0.0,0.0
Susan Kare T42,0.2,0.8,0.0,0.4588
