trial,Pos.,Neu.,Neg.,Summary
Sergey Brin T1,0.375,0.625,0.0,0.8122
Sergey Brin T2,0.235,0.677,0.088,0.5719
Sergey Brin T3,0.172,0.828,0.0,0.3612
Sergey Brin T4,0.0,1.0,0.0,0.0
Sergey Brin T5,0.112,0.888,0.0,0.34
Sergey Brin T6,0.0,1.0,0.0,0.0
Sergey Brin T7,0.0,1.0,0.0,0.0
Sergey Brin T8,0.0,1.0,0.0,0.0
Sergey Brin T9,0.0,1.0,0.0,0.0
Sergey Brin T10,0.0,1.0,0.0,0.0
Sergey Brin T11,0.0,1.0,0.0,0.0
Sergey Brin T12,0.0,1.0,0.0,0.0
Sergey Brin T13,0.0,1.0,0.0,0.0
Sergey Brin T14,0.208,0.792,0.0,0.6428
Sergey Brin T15,0.089,0.71,0.201,-0.4404
Sergey Brin T16,0.0,1.0,0.0,0.0
Sergey Brin T17,0.0,1.0,0.0,0.0
Sergey Brin T18,0.0,1.0,0.0,0.0
Sergey Brin T19,0.0,0.885,0.115,-0.296
Sergey Brin T20,0.0,1.0,0.0,0.0
Sergey Brin T21,0.0,1.0,0.0,0.0
Sergey Brin T22,0.16,0.591,0.249,-0.4215
Sergey Brin T23,0.0,1.0,0.0,0.0
Sergey Brin T24,0.0,1.0,0.0,0.0
Sergey Brin T25,0.083,0.917,0.0,0.2023
Sergey Brin T26,0.0,1.0,0.0,0.0
Sergey Brin T27,0.0,1.0,0.0,0.0
Sergey Brin T28,0.0,1.0,0.0,0.0
Sergey Brin T29,0.0,1.0,0.0,0.0
Sergey Brin T30,0.0,0.594,0.406,-0.6249
Sergey Brin T31,0.0,1.0,0.0,0.0
Sergey Brin T32,0.0,1.0,0.0,0.0
Sergey Brin T33,0.0,1.0,0.0,0.0
Sergey Brin T34,0.162,0.838,0.0,0.4404
Sergey Brin T35,0.0,1.0,0.0,0.0
Sergey Brin T36,0.0,1.0,0.0,0.0
Sergey Brin T37,0.105,0.786,0.109,-0.0258
Sergey Brin T38,0.332,0.583,0.086,0.775
Sergey Brin T39,0.0,1.0,0.0,0.0
Sergey Brin T40,0.0,1.0,0.0,0.0
Sergey Brin T41,0.253,0.747,0.0,0.6962
Sergey Brin T42,0.0,1.0,0.0,0.0
Sergey Brin T43,0.0,1.0,0.0,0.0
Sergey Brin T44,0.151,0.849,0.0,0.296
Sergey Brin T45,0.128,0.872,0.0,0.4215
Sergey Brin T46,0.0,0.847,0.153,-0.4404
Sergey Brin T47,0.163,0.705,0.132,0.1779
Sergey Brin T48,0.113,0.887,0.0,0.3182
Sergey Brin T49,0.136,0.864,0.0,0.4576
Sergey Brin T50,0.0,0.885,0.115,-0.0772
Sergey Brin T51,0.125,0.875,0.0,0.25
Sergey Brin T52,0.0,0.872,0.128,-0.296
Sergey Brin T53,0.0,1.0,0.0,0.0
Sergey Brin T54,0.111,0.889,0.0,0.3612
Sergey Brin T55,0.153,0.847,0.0,0.4019
Sergey Brin T56,0.252,0.748,0.0,0.7506
Sergey Brin T57,0.0,0.667,0.333,-0.7906
Sergey Brin T58,0.134,0.638,0.228,-0.3535
Sergey Brin T59,0.167,0.833,0.0,0.3818
Sergey Brin T60,0.0,1.0,0.0,0.0
Sergey Brin T61,0.0,0.928,0.072,-0.1027
Sergey Brin T62,0.185,0.74,0.075,0.3597
Sergey Brin T63,0.0,1.0,0.0,0.0
Sergey Brin T64,0.0,1.0,0.0,0.0
Sergey Brin T65,0.0,1.0,0.0,0.0
Sergey Brin T66,0.0,1.0,0.0,0.0
Sergey Brin T67,0.0,1.0,0.0,0.0
Sergey Brin T68,0.0,1.0,0.0,0.0
Sergey Brin T69,0.0,1.0,0.0,0.0
Sergey Brin T70,0.118,0.882,0.0,0.1531
Sergey Brin T71,0.0,1.0,0.0,0.0
Sergey Brin T72,0.0,1.0,0.0,0.0
Sergey Brin T73,0.195,0.805,0.0,0.5267
Sergey Brin T74,0.124,0.876,0.0,0.4019
Sergey Brin T75,0.0,0.804,0.196,-0.296
Sergey Brin T76,0.162,0.838,0.0,0.4404
Sergey Brin T77,0.0,1.0,0.0,0.0
Sergey Brin T78,0.0,1.0,0.0,0.0
Sergey Brin T79,0.0,0.845,0.155,-0.5106
Sergey Brin T80,0.0,0.769,0.231,-0.5574
Sergey Brin T81,0.0,0.864,0.136,-0.4588
Sergey Brin T82,0.0,1.0,0.0,0.0
Sergey Brin T83,0.253,0.747,0.0,0.7269
Sergey Brin T84,0.144,0.597,0.259,-0.5956
Sergey Brin T85,0.299,0.701,0.0,0.75
Sergey Brin T86,0.0,1.0,0.0,0.0
Sergey Brin T87,0.0,1.0,0.0,0.0
Sergey Brin T88,0.0,1.0,0.0,0.0
Sergey Brin T89,0.0,0.581,0.419,-0.802
Sergey Brin T90,0.159,0.841,0.0,0.5267
Sergey Brin T91,0.0,1.0,0.0,0.0
Sergey Brin T92,0.0,1.0,0.0,0.0
Sergey Brin T93,0.263,0.737,0.0,0.6124
Sergey Brin T94,0.0,1.0,0.0,0.0
Sergey Brin T95,0.0,1.0,0.0,0.0
Sergey Brin T96,0.0,1.0,0.0,0.0
Sergey Brin T97,0.0,1.0,0.0,0.0
Sergey Brin T98,0.0,1.0,0.0,0.0
Sergey Brin T99,0.141,0.45,0.41,-0.6997
Sergey Brin T100,0.0,1.0,0.0,0.0
Sergey Brin T101,0.434,0.566,0.0,0.9191
Sergey Brin T102,0.171,0.829,0.0,0.5423
Sergey Brin T103,0.0,1.0,0.0,0.0
Sergey Brin T104,0.0,1.0,0.0,0.0
Sergey Brin T105,0.0,0.829,0.171,-0.4767
Sergey Brin T106,0.0,1.0,0.0,0.0
Sergey Brin T107,0.0,1.0,0.0,0.0
Sergey Brin T108,0.0,1.0,0.0,0.0
Sergey Brin T109,0.144,0.697,0.159,-0.0772
Sergey Brin T110,0.152,0.681,0.168,-0.0772
Sergey Brin T111,0.0,1.0,0.0,0.0
Sergey Brin T112,0.145,0.855,0.0,0.5267
Sergey Brin T113,0.0,1.0,0.0,0.0
Sergey Brin T114,0.0,1.0,0.0,0.0
Sergey Brin T115,0.172,0.828,0.0,0.3612
Sergey Brin T116,0.0,1.0,0.0,0.0
Sergey Brin T117,0.0,1.0,0.0,0.0
Sergey Brin T118,0.0,1.0,0.0,0.0
Sergey Brin T119,0.114,0.822,0.064,0.2748
Sergey Brin T120,0.153,0.847,0.0,0.5319
Sergey Brin T121,0.0,1.0,0.0,0.0
Sergey Brin T122,0.0,1.0,0.0,0.0
Sergey Brin T123,0.159,0.841,0.0,0.5267
Sergey Brin T124,0.0,1.0,0.0,0.0
Sergey Brin T125,0.0,1.0,0.0,0.0
Sergey Brin T126,0.229,0.459,0.312,-0.2263
Sergey Brin T127,0.0,1.0,0.0,0.0
Sergey Brin T128,0.0,1.0,0.0,0.0
Sergey Brin T129,0.0,1.0,0.0,0.0
Sergey Brin T130,0.0,1.0,0.0,0.0
Sergey Brin T131,0.224,0.776,0.0,0.6369
Sergey Brin T132,0.0,1.0,0.0,0.0
Sergey Brin T133,0.0,1.0,0.0,0.0
Bill Gates T1,0.148,0.852,0.0,0.4795
Bill Gates T2,0.0,1.0,0.0,0.0
Bill Gates T3,0.0,1.0,0.0,0.0
