,0,1,2,3
feminism T1,0.0,0.867,0.133,-0.3182
feminism T2,0.091,0.909,0.0,0.1779
feminism T3,0.0,1.0,0.0,0.0
feminism T4,0.204,0.622,0.173,-0.0772
feminism T5,0.0,1.0,0.0,0.0
feminism T6,0.0,1.0,0.0,0.0
feminism T7,0.0,0.843,0.157,-0.4215
feminism T8,0.163,0.714,0.122,0.2023
feminism T9,0.0,0.744,0.256,-0.4767
feminism T10,0.105,0.895,0.0,0.4019
feminism T11,0.0,0.897,0.103,-0.1531
feminism T12,0.128,0.872,0.0,0.3612
feminism T13,0.0,1.0,0.0,0.0
feminism T14,0.0,0.819,0.181,-0.6369
feminism T15,0.176,0.714,0.11,0.34
feminism T16,0.25,0.543,0.207,0.1027
feminism T17,0.0,1.0,0.0,0.0
feminism T18,0.0,0.682,0.318,-0.6369
feminism T19,0.085,0.813,0.102,-0.1027
feminism T20,0.33,0.67,0.0,0.8108
feminism T21,0.29,0.71,0.0,0.6486
feminism T22,0.402,0.598,0.0,0.8951
feminism T23,0.0,0.744,0.256,-0.7351
feminism T24,0.245,0.755,0.0,0.6739
feminism T25,0.0,1.0,0.0,0.0
feminism T26,0.222,0.694,0.083,0.4588
feminism T27,0.185,0.548,0.268,-0.0943
feminism T28,0.0,1.0,0.0,0.0
feminism T29,0.0,1.0,0.0,0.0
feminism T30,0.309,0.612,0.079,0.7501
feminism T31,0.156,0.751,0.092,0.2732
feminism T32,0.356,0.585,0.059,0.7972
feminism T33,0.0,1.0,0.0,0.0
feminism T34,0.0,1.0,0.0,0.0
feminism T35,0.0,1.0,0.0,0.0
feminism T36,0.0,1.0,0.0,0.0
feminism T37,0.267,0.733,0.0,0.6249
feminism T38,0.0,1.0,0.0,0.0
feminism T39,0.0,1.0,0.0,0.0
feminism T40,0.111,0.796,0.093,0.1027
feminism T41,0.0,1.0,0.0,0.0
feminism T42,0.0,0.581,0.419,-0.5574
feminism T43,0.0,0.888,0.112,-0.3412
feminism T44,0.0,1.0,0.0,0.0
feminism T45,0.0,1.0,0.0,0.0
feminism T46,0.0,0.62,0.38,-0.8105
feminism T47,0.189,0.697,0.114,0.3612
feminism T48,0.0,1.0,0.0,0.0
feminism T49,0.261,0.739,0.0,0.6486
feminism T50,0.0,1.0,0.0,0.0
feminism T51,0.073,0.833,0.094,-0.128
feminism T52,0.0,0.732,0.268,-0.7378
feminism T53,0.053,0.628,0.319,-0.7579
feminism T54,0.145,0.552,0.303,-0.3182
feminism T55,0.192,0.808,0.0,0.4754
feminism T56,0.0,1.0,0.0,0.0
feminism T57,0.289,0.711,0.0,0.7269
feminism T58,0.289,0.711,0.0,0.7845
feminism T59,0.0,1.0,0.0,0.0
feminism T60,0.177,0.645,0.177,0.0
feminism T61,0.0,0.588,0.412,-0.8782
feminism T62,0.0,1.0,0.0,0.0
feminism T63,0.0,0.891,0.109,-0.296
feminism T64,0.0,0.504,0.496,-0.7102
feminism T65,0.0,1.0,0.0,0.0
feminism T66,0.117,0.727,0.155,-0.1862
feminism T67,0.157,0.63,0.213,-0.0577
feminism T68,0.0,1.0,0.0,0.0
feminism T69,0.0,1.0,0.0,0.0
feminism T70,0.0,1.0,0.0,0.0
feminism T71,0.0,0.86,0.14,-0.3818
feminism T72,0.0,1.0,0.0,0.0
feminism T73,0.0,1.0,0.0,0.0
feminism T74,0.0,1.0,0.0,0.0
feminism T75,0.0,1.0,0.0,0.0
feminism T76,0.0,1.0,0.0,0.0
feminism T77,0.0,0.744,0.256,-0.4767
feminism T78,0.0,1.0,0.0,0.0
feminism T79,0.239,0.485,0.276,-0.2516
feminism T80,0.0,1.0,0.0,0.0
feminism T81,0.259,0.741,0.0,0.4215
feminism T82,0.317,0.683,0.0,0.836
feminism T83,0.099,0.633,0.269,-0.6478
feminism T84,0.0,0.914,0.086,-0.1531
feminism T85,0.183,0.701,0.116,0.3291
feminism T86,0.0,1.0,0.0,0.0
feminism T87,0.0,1.0,0.0,0.0
feminism T88,0.122,0.878,0.0,0.2716
feminism T89,0.159,0.637,0.204,-0.1779
feminism T90,0.128,0.872,0.0,0.2975
feminism T91,0.191,0.809,0.0,0.5106
feminism T92,0.0,0.854,0.146,-0.4404
feminism T93,0.0,1.0,0.0,0.0
feminism T94,0.0,0.821,0.179,-0.5719
feminism T95,0.0,1.0,0.0,0.0
feminism T96,0.339,0.661,0.0,0.802
feminism T97,0.0,0.69,0.31,-0.6597
feminism T98,0.0,1.0,0.0,0.0
feminism T99,0.313,0.687,0.0,0.6249
feminism T100,0.0,1.0,0.0,0.0
feminism T101,0.0,1.0,0.0,0.0
feminism T102,0.488,0.512,0.0,0.8868
feminism T103,0.0,1.0,0.0,0.0
feminism T104,0.0,1.0,0.0,0.0
feminism T105,0.381,0.542,0.077,0.8283
feminism T106,0.0,1.0,0.0,0.0
feminism T107,0.218,0.647,0.135,0.34
feminism T108,0.0,1.0,0.0,0.0
feminism T109,0.0,1.0,0.0,0.0
feminism T110,0.298,0.38,0.322,-0.3384
feminism T111,0.0,1.0,0.0,0.0
feminism T112,0.0,1.0,0.0,0.0
feminism T113,0.153,0.711,0.135,0.1105
feminism T114,0.0,0.822,0.178,-0.353
feminism T115,0.21,0.79,0.0,0.6115
feminism T116,0.0,1.0,0.0,0.0
feminism T117,0.0,1.0,0.0,0.0
feminism T118,0.0,0.885,0.115,-0.296
feminism T119,0.0,1.0,0.0,0.0
feminism T120,0.0,0.935,0.065,-0.1531
feminism T121,0.0,1.0,0.0,0.0
feminism T122,0.0,0.851,0.149,-0.2023
feminism T123,0.0,1.0,0.0,0.0
feminism T124,0.0,0.811,0.189,-0.6369
feminism T125,0.0,1.0,0.0,0.0
feminism T126,0.0,1.0,0.0,0.0
feminism T127,0.0,1.0,0.0,0.0
feminism T128,0.0,1.0,0.0,0.0
feminism T129,0.0,1.0,0.0,0.0
feminism T130,0.099,0.901,0.0,0.3182
feminism T131,0.103,0.897,0.0,0.3182
feminism T132,0.296,0.583,0.121,0.5994
feminism T133,0.3,0.5,0.2,0.2023
feminism T134,0.231,0.769,0.0,0.6369
feminism T135,0.0,0.558,0.442,-0.837
feminism T136,0.213,0.787,0.0,0.4019
feminism T137,0.0,0.692,0.308,-0.6662
feminism T138,0.0,1.0,0.0,0.0
feminism T139,0.365,0.635,0.0,0.5574
feminism T140,0.0,1.0,0.0,0.0
feminism T141,0.351,0.649,0.0,0.4019
feminism T142,0.0,1.0,0.0,0.0
feminism T143,0.0,1.0,0.0,0.0
feminism T144,0.0,0.577,0.423,-0.9001
feminism T145,0.179,0.539,0.283,-0.323
feminism T146,0.0,0.741,0.259,-0.4215
feminism T147,0.183,0.5,0.317,-0.1043
feminism T148,0.0,1.0,0.0,0.0
feminism T149,0.242,0.758,0.0,0.4939
feminism T150,0.0,0.874,0.126,-0.3182
feminism T151,0.0,1.0,0.0,0.0
feminism T152,0.205,0.725,0.069,0.3071
feminism T153,0.0,1.0,0.0,0.0
feminism T154,0.0,0.669,0.331,-0.836
feminism T155,0.0,1.0,0.0,0.0
feminism T156,0.455,0.545,0.0,0.875
feminism T157,0.213,0.787,0.0,0.5574
feminism T158,0.0,1.0,0.0,0.0
feminism T159,0.0,1.0,0.0,0.0
feminism T160,0.0,0.872,0.128,-0.296
feminism T161,0.087,0.913,0.0,0.25
feminism T162,0.159,0.841,0.0,0.1779
feminism T163,0.271,0.729,0.0,0.6369
feminism T164,0.0,1.0,0.0,0.0
feminism T165,0.0,0.86,0.14,-0.4767
feminism T166,0.141,0.859,0.0,0.2023
feminism T167,0.0,1.0,0.0,0.0
feminism T168,0.0,1.0,0.0,0.0
feminism T169,0.0,1.0,0.0,0.0
feminism T170,0.0,1.0,0.0,0.0
feminism T171,0.178,0.625,0.197,-0.1487
feminism T172,0.186,0.814,0.0,0.6249
feminism T173,0.0,1.0,0.0,0.0
feminism T174,0.299,0.701,0.0,0.7159
feminism T175,0.0,1.0,0.0,0.0
feminism T176,0.239,0.761,0.0,0.296
feminism T177,0.0,0.931,0.069,-0.1027
feminism T178,0.0,1.0,0.0,0.0
feminism T179,0.098,0.902,0.0,0.3612
feminism T180,0.0,1.0,0.0,0.0
feminism T181,0.262,0.664,0.074,0.6249
feminism T182,0.138,0.862,0.0,0.3384
feminism T183,0.0,1.0,0.0,0.0
feminism T184,0.0,1.0,0.0,0.0
feminism T185,0.279,0.721,0.0,0.7003
feminism T186,0.24,0.76,0.0,0.7178
feminism T187,0.0,0.725,0.275,-0.6486
feminism T188,0.0,1.0,0.0,0.0
feminism T189,0.123,0.877,0.0,0.4215
feminism T190,0.221,0.581,0.198,0.1027
feminism T191,0.0,0.763,0.237,-0.4215
feminism T192,0.0,0.886,0.114,-0.3491
feminism T193,0.111,0.58,0.309,-0.7552
feminism T194,0.0,1.0,0.0,0.0
feminism T195,0.0,0.825,0.175,-0.5256
feminism T196,0.0,1.0,0.0,0.0
feminism T197,0.0,1.0,0.0,0.0
feminism T198,0.355,0.545,0.1,0.6808
feminism T199,0.101,0.559,0.341,-0.6486
feminism T200,0.0,1.0,0.0,0.0
feminism T201,0.109,0.786,0.105,0.0258
feminism T202,0.0,1.0,0.0,0.0
feminism T203,0.0,1.0,0.0,0.0
feminism T204,0.0,0.447,0.553,-0.9416
feminism T205,0.084,0.916,0.0,0.1406
feminism T206,0.104,0.896,0.0,0.296
feminism T207,0.368,0.632,0.0,0.8519
feminism T208,0.0,1.0,0.0,0.0
feminism T209,0.0,1.0,0.0,0.0
feminism T210,0.0,0.829,0.171,-0.4767
feminism T211,0.0,1.0,0.0,0.0
feminism T212,0.072,0.626,0.302,-0.8541
feminism T213,0.344,0.656,0.0,0.6369
feminism T214,0.288,0.582,0.13,0.765
feminism T215,0.106,0.509,0.384,-0.7184
feminism T216,0.0,1.0,0.0,0.0
feminism T217,0.0,1.0,0.0,0.0
feminism T218,0.0,0.76,0.24,-0.6249
feminism T219,0.181,0.819,0.0,0.6113
feminism T220,0.221,0.779,0.0,0.624
feminism T221,0.0,0.714,0.286,-0.3412
feminism T222,0.0,1.0,0.0,0.0
feminism T223,0.0,1.0,0.0,0.0
feminism T224,0.261,0.586,0.153,0.34
feminism T225,0.0,0.828,0.172,-0.128
feminism T226,0.0,0.684,0.316,-0.8074
feminism T227,0.0,1.0,0.0,0.0
feminism T228,0.0,1.0,0.0,0.0
feminism T229,0.0,1.0,0.0,0.0
feminism T230,0.0,1.0,0.0,0.0
feminism T231,0.0,1.0,0.0,0.0
feminism T232,0.0,1.0,0.0,0.0
feminism T233,0.0,1.0,0.0,0.0
feminism T234,0.122,0.878,0.0,0.4199
feminism T235,0.153,0.847,0.0,0.2023
feminism T236,0.0,1.0,0.0,0.0
feminism T237,0.0,1.0,0.0,0.0
