,0,1,2,3
masculinity T1,0.344,0.656,0.0,0.7506
masculinity T2,0.0,1.0,0.0,0.0
masculinity T3,0.221,0.531,0.248,-0.0772
masculinity T4,0.0,1.0,0.0,0.0
masculinity T5,0.0,0.813,0.187,-0.7427
masculinity T6,0.093,0.648,0.259,-0.6249
masculinity T7,0.435,0.565,0.0,0.9062
masculinity T8,0.162,0.838,0.0,0.4019
masculinity T9,0.0,1.0,0.0,0.0
masculinity T10,0.095,0.758,0.147,-0.2753
masculinity T11,0.0,0.822,0.178,-0.5994
masculinity T12,0.0,1.0,0.0,0.0
masculinity T13,0.0,0.867,0.133,-0.3182
masculinity T14,0.0,1.0,0.0,0.0
masculinity T15,0.101,0.557,0.341,-0.7096
masculinity T16,0.086,0.914,0.0,0.1531
masculinity T17,0.0,1.0,0.0,0.0
masculinity T18,0.15,0.85,0.0,0.4588
masculinity T19,0.356,0.585,0.059,0.7972
masculinity T20,0.0,0.699,0.301,-0.7845
masculinity T21,0.0,0.87,0.13,-0.4019
masculinity T22,0.0,1.0,0.0,0.0
masculinity T23,0.0,0.759,0.241,-0.6597
masculinity T24,0.314,0.502,0.184,0.4805
masculinity T25,0.0,0.476,0.524,-0.6597
masculinity T26,0.0,1.0,0.0,0.0
masculinity T27,0.407,0.593,0.0,0.8625
masculinity T28,0.0,0.868,0.132,-0.4404
masculinity T29,0.209,0.581,0.209,0.0
masculinity T30,0.0,1.0,0.0,0.0
masculinity T31,0.0,0.545,0.455,-0.6124
masculinity T32,0.0,1.0,0.0,0.0
masculinity T33,0.318,0.53,0.152,0.2075
masculinity T34,0.241,0.759,0.0,0.3612
masculinity T35,0.0,1.0,0.0,0.0
masculinity T36,0.139,0.861,0.0,0.4404
masculinity T37,0.47,0.53,0.0,0.9081
masculinity T38,0.156,0.844,0.0,0.5423
masculinity T39,0.087,0.42,0.493,-0.9118
masculinity T40,0.245,0.755,0.0,0.7351
masculinity T41,0.0,1.0,0.0,0.0
masculinity T42,0.234,0.766,0.0,0.7506
masculinity T43,0.113,0.742,0.145,-0.2023
masculinity T44,0.0,1.0,0.0,0.0
masculinity T45,0.0,0.641,0.359,-0.4215
masculinity T46,0.101,0.837,0.062,0.2263
masculinity T47,0.42,0.58,0.0,0.4404
masculinity T48,0.173,0.708,0.119,0.4939
masculinity T49,0.0,1.0,0.0,0.0
masculinity T50,0.138,0.628,0.234,-0.3182
masculinity T51,0.0,1.0,0.0,0.0
masculinity T52,0.0,0.708,0.292,-0.6557
masculinity T53,0.0,1.0,0.0,0.0
masculinity T54,0.0,1.0,0.0,0.0
masculinity T55,0.201,0.697,0.102,0.2815
masculinity T56,0.548,0.452,0.0,0.9022
masculinity T57,0.0,1.0,0.0,0.0
masculinity T58,0.112,0.609,0.279,-0.5109
masculinity T59,0.318,0.682,0.0,0.6794
masculinity T60,0.151,0.688,0.161,-0.0516
masculinity T61,0.122,0.878,0.0,0.3612
masculinity T62,0.0,0.303,0.697,-0.3182
masculinity T63,0.0,0.833,0.167,-0.3412
masculinity T64,0.17,0.83,0.0,0.5413
masculinity T65,0.127,0.873,0.0,0.4404
masculinity T66,0.0,1.0,0.0,0.0
masculinity T67,0.086,0.639,0.275,-0.5927
masculinity T68,0.124,0.78,0.096,0.1511
masculinity T69,0.398,0.417,0.186,0.6808
masculinity T70,0.0,1.0,0.0,0.0
masculinity T71,0.0,1.0,0.0,0.0
masculinity T72,0.117,0.883,0.0,0.4173
masculinity T73,0.153,0.847,0.0,0.4404
masculinity T74,0.0,1.0,0.0,0.0
masculinity T75,0.201,0.58,0.219,-0.1027
masculinity T76,0.0,1.0,0.0,0.0
masculinity T77,0.0,0.891,0.109,-0.296
masculinity T78,0.0,1.0,0.0,0.0
masculinity T79,0.133,0.867,0.0,0.3818
masculinity T80,0.245,0.623,0.132,0.4767
masculinity T81,0.407,0.593,0.0,0.8625
masculinity T82,0.0,1.0,0.0,0.0
masculinity T83,0.0,1.0,0.0,0.0
masculinity T84,0.189,0.811,0.0,0.6369
masculinity T85,0.0,1.0,0.0,0.0
masculinity T86,0.0,1.0,0.0,0.0
masculinity T87,0.0,0.842,0.158,-0.4574
masculinity T88,0.153,0.688,0.159,-0.0258
masculinity T89,0.0,1.0,0.0,0.0
masculinity T90,0.198,0.802,0.0,0.4927
masculinity T91,0.0,1.0,0.0,0.0
masculinity T92,0.0,1.0,0.0,0.0
masculinity T93,0.09,0.762,0.148,-0.3182
masculinity T94,0.0,0.727,0.273,-0.4588
masculinity T95,0.0,1.0,0.0,0.0
masculinity T96,0.195,0.747,0.058,0.5106
masculinity T97,0.389,0.611,0.0,0.836
masculinity T98,0.112,0.762,0.126,-0.0772
masculinity T99,0.0,1.0,0.0,0.0
masculinity T100,0.13,0.725,0.145,0.1779
masculinity T101,0.0,0.912,0.088,-0.1406
masculinity T102,0.0,0.235,0.765,-0.7579
masculinity T103,0.26,0.617,0.123,0.4767
masculinity T104,0.0,0.805,0.195,-0.5267
masculinity T105,0.0,1.0,0.0,0.0
masculinity T106,0.0,0.558,0.442,-0.9169
masculinity T107,0.0,0.73,0.27,-0.6486
masculinity T108,0.112,0.461,0.427,-0.8616
masculinity T109,0.0,1.0,0.0,0.0
masculinity T110,0.366,0.466,0.168,0.7586
masculinity T111,0.0,1.0,0.0,0.0
masculinity T112,0.0,0.757,0.243,-0.7269
masculinity T113,0.313,0.525,0.162,0.3486
masculinity T114,0.198,0.802,0.0,0.5719
masculinity T115,0.084,0.491,0.425,-0.9349
masculinity T116,0.0,1.0,0.0,0.0
masculinity T117,0.171,0.708,0.121,0.296
