,trial,Pos.,Neu.,Neg.,Summary
0,feminism T1,0.161,0.839,0.0,0.6597
1,feminism T2,0.213,0.787,0.0,0.5859
2,feminism T3,0.259,0.741,0.0,0.6739
3,feminism T4,0.0,1.0,0.0,0.0
4,feminism T5,0.0,0.455,0.545,-0.9186
5,feminism T6,0.0,1.0,0.0,0.0
6,feminism T7,0.0,1.0,0.0,0.0
7,feminism T8,0.336,0.36,0.304,-0.0516
8,feminism T9,0.0,0.867,0.133,-0.3182
9,feminism T10,0.091,0.909,0.0,0.1779
10,feminism T11,0.0,1.0,0.0,0.0
11,feminism T12,0.204,0.622,0.173,-0.0772
12,feminism T13,0.0,1.0,0.0,0.0
13,feminism T14,0.0,1.0,0.0,0.0
14,feminism T15,0.0,0.843,0.157,-0.4215
15,feminism T16,0.163,0.714,0.122,0.2023
16,feminism T17,0.0,0.744,0.256,-0.4767
17,feminism T18,0.105,0.895,0.0,0.4019
18,feminism T19,0.0,0.897,0.103,-0.1531
19,feminism T20,0.128,0.872,0.0,0.3612
20,feminism T21,0.0,1.0,0.0,0.0
21,feminism T22,0.0,0.819,0.181,-0.6369
22,feminism T23,0.176,0.714,0.11,0.34
23,feminism T24,0.25,0.543,0.207,0.1027
24,feminism T25,0.0,1.0,0.0,0.0
25,feminism T26,0.0,0.682,0.318,-0.6369
26,feminism T27,0.085,0.813,0.102,-0.1027
27,feminism T28,0.33,0.67,0.0,0.8108
28,feminism T29,0.29,0.71,0.0,0.6486
29,feminism T30,0.402,0.598,0.0,0.8951
30,feminism T31,0.0,0.744,0.256,-0.7351
31,feminism T32,0.245,0.755,0.0,0.6739
32,feminism T33,0.0,1.0,0.0,0.0
33,feminism T34,0.222,0.694,0.083,0.4588
34,feminism T35,0.185,0.548,0.268,-0.0943
35,feminism T36,0.0,1.0,0.0,0.0
36,feminism T37,0.0,1.0,0.0,0.0
37,feminism T38,0.309,0.612,0.079,0.7501
38,feminism T39,0.156,0.751,0.092,0.2732
39,feminism T40,0.356,0.585,0.059,0.7972
40,feminism T41,0.0,1.0,0.0,0.0
41,feminism T42,0.0,1.0,0.0,0.0
42,feminism T43,0.0,1.0,0.0,0.0
43,feminism T44,0.0,1.0,0.0,0.0
44,feminism T45,0.267,0.733,0.0,0.6249
45,feminism T46,0.0,1.0,0.0,0.0
46,feminism T47,0.0,1.0,0.0,0.0
47,feminism T48,0.111,0.796,0.093,0.1027
48,feminism T49,0.0,1.0,0.0,0.0
49,feminism T50,0.0,0.581,0.419,-0.5574
50,feminism T51,0.0,0.888,0.112,-0.3412
51,feminism T52,0.0,1.0,0.0,0.0
52,feminism T53,0.0,1.0,0.0,0.0
53,feminism T54,0.0,0.62,0.38,-0.8105
54,feminism T55,0.189,0.697,0.114,0.3612
55,feminism T56,0.0,1.0,0.0,0.0
56,feminism T57,0.261,0.739,0.0,0.6486
57,feminism T58,0.0,1.0,0.0,0.0
58,feminism T59,0.073,0.833,0.094,-0.128
59,feminism T60,0.0,0.732,0.268,-0.7378
60,feminism T61,0.053,0.628,0.319,-0.7579
61,feminism T62,0.145,0.552,0.303,-0.3182
62,feminism T63,0.192,0.808,0.0,0.4754
63,feminism T64,0.0,1.0,0.0,0.0
64,feminism T65,0.289,0.711,0.0,0.7269
65,feminism T66,0.289,0.711,0.0,0.7845
66,feminism T67,0.0,1.0,0.0,0.0
67,feminism T68,0.177,0.645,0.177,0.0
68,feminism T69,0.0,0.588,0.412,-0.8782
69,feminism T70,0.0,1.0,0.0,0.0
70,feminism T71,0.0,0.891,0.109,-0.296
71,feminism T72,0.0,0.504,0.496,-0.7102
72,feminism T73,0.0,1.0,0.0,0.0
73,feminism T74,0.117,0.727,0.155,-0.1862
74,feminism T75,0.157,0.63,0.213,-0.0577
75,feminism T76,0.0,1.0,0.0,0.0
76,feminism T77,0.0,1.0,0.0,0.0
77,feminism T78,0.0,1.0,0.0,0.0
78,feminism T79,0.0,0.86,0.14,-0.3818
79,feminism T80,0.0,1.0,0.0,0.0
80,feminism T81,0.0,1.0,0.0,0.0
81,feminism T82,0.0,1.0,0.0,0.0
82,feminism T83,0.0,1.0,0.0,0.0
83,feminism T84,0.0,1.0,0.0,0.0
84,feminism T85,0.0,0.744,0.256,-0.4767
85,feminism T86,0.0,1.0,0.0,0.0
86,feminism T87,0.239,0.485,0.276,-0.2516
87,feminism T88,0.0,1.0,0.0,0.0
88,feminism T89,0.259,0.741,0.0,0.4215
89,feminism T90,0.317,0.683,0.0,0.836
90,feminism T91,0.099,0.633,0.269,-0.6478
91,feminism T92,0.0,0.914,0.086,-0.1531
92,feminism T93,0.183,0.701,0.116,0.3291
93,feminism T94,0.0,1.0,0.0,0.0
94,feminism T95,0.0,1.0,0.0,0.0
95,feminism T96,0.122,0.878,0.0,0.2716
96,feminism T97,0.159,0.637,0.204,-0.1779
97,feminism T98,0.128,0.872,0.0,0.2975
98,feminism T99,0.191,0.809,0.0,0.5106
99,feminism T100,0.0,0.854,0.146,-0.4404
100,feminism T101,0.0,1.0,0.0,0.0
101,feminism T102,0.0,0.821,0.179,-0.5719
102,feminism T103,0.0,1.0,0.0,0.0
103,feminism T104,0.339,0.661,0.0,0.802
104,feminism T105,0.0,0.69,0.31,-0.6597
105,feminism T106,0.0,1.0,0.0,0.0
106,feminism T107,0.313,0.687,0.0,0.6249
107,feminism T108,0.0,1.0,0.0,0.0
108,feminism T109,0.0,1.0,0.0,0.0
109,feminism T110,0.488,0.512,0.0,0.8868
110,feminism T111,0.0,1.0,0.0,0.0
111,feminism T112,0.0,1.0,0.0,0.0
112,feminism T113,0.381,0.542,0.077,0.8283
113,feminism T114,0.0,1.0,0.0,0.0
114,feminism T115,0.218,0.647,0.135,0.34
115,feminism T116,0.0,1.0,0.0,0.0
116,feminism T117,0.0,1.0,0.0,0.0
117,feminism T118,0.298,0.38,0.322,-0.3384
118,feminism T119,0.0,1.0,0.0,0.0
119,feminism T120,0.0,1.0,0.0,0.0
120,feminism T121,0.153,0.711,0.135,0.1105
121,feminism T122,0.0,0.822,0.178,-0.353
122,feminism T123,0.21,0.79,0.0,0.6115
123,feminism T124,0.0,1.0,0.0,0.0
124,feminism T125,0.0,1.0,0.0,0.0
125,feminism T126,0.0,0.885,0.115,-0.296
126,feminism T127,0.0,1.0,0.0,0.0
127,feminism T128,0.0,0.935,0.065,-0.1531
128,feminism T129,0.0,1.0,0.0,0.0
129,feminism T130,0.0,0.851,0.149,-0.2023
130,feminism T131,0.0,1.0,0.0,0.0
131,feminism T132,0.0,0.811,0.189,-0.6369
132,feminism T133,0.0,1.0,0.0,0.0
133,feminism T134,0.0,1.0,0.0,0.0
134,feminism T135,0.0,1.0,0.0,0.0
135,feminism T136,0.0,1.0,0.0,0.0
136,feminism T137,0.0,1.0,0.0,0.0
137,feminism T138,0.099,0.901,0.0,0.3182
138,feminism T139,0.103,0.897,0.0,0.3182
139,feminism T140,0.296,0.583,0.121,0.5994
140,feminism T141,0.3,0.5,0.2,0.2023
141,feminism T142,0.231,0.769,0.0,0.6369
142,feminism T143,0.0,0.558,0.442,-0.837
143,feminism T144,0.213,0.787,0.0,0.4019
144,feminism T145,0.0,0.692,0.308,-0.6662
145,feminism T146,0.0,1.0,0.0,0.0
146,feminism T147,0.365,0.635,0.0,0.5574
147,feminism T148,0.0,1.0,0.0,0.0
148,feminism T149,0.351,0.649,0.0,0.4019
149,feminism T150,0.0,1.0,0.0,0.0
150,feminism T151,0.0,1.0,0.0,0.0
151,feminism T152,0.0,0.577,0.423,-0.9001
152,feminism T153,0.179,0.539,0.283,-0.323
153,feminism T154,0.0,0.741,0.259,-0.4215
154,feminism T155,0.183,0.5,0.317,-0.1043
155,feminism T156,0.0,1.0,0.0,0.0
156,feminism T157,0.242,0.758,0.0,0.4939
157,feminism T158,0.0,0.874,0.126,-0.3182
158,feminism T159,0.0,1.0,0.0,0.0
159,feminism T160,0.205,0.725,0.069,0.3071
160,feminism T161,0.0,1.0,0.0,0.0
161,feminism T162,0.0,0.669,0.331,-0.836
162,feminism T163,0.0,1.0,0.0,0.0
163,feminism T164,0.455,0.545,0.0,0.875
164,feminism T165,0.213,0.787,0.0,0.5574
165,feminism T166,0.0,1.0,0.0,0.0
166,feminism T167,0.0,1.0,0.0,0.0
167,feminism T168,0.0,0.872,0.128,-0.296
168,feminism T169,0.087,0.913,0.0,0.25
169,feminism T170,0.159,0.841,0.0,0.1779
170,feminism T171,0.271,0.729,0.0,0.6369
171,feminism T172,0.0,1.0,0.0,0.0
172,feminism T173,0.0,0.86,0.14,-0.4767
173,feminism T174,0.141,0.859,0.0,0.2023
174,feminism T175,0.0,1.0,0.0,0.0
175,feminism T176,0.0,1.0,0.0,0.0
176,feminism T177,0.0,1.0,0.0,0.0
177,feminism T178,0.0,1.0,0.0,0.0
178,feminism T179,0.178,0.625,0.197,-0.1487
179,feminism T180,0.186,0.814,0.0,0.6249
180,feminism T181,0.0,1.0,0.0,0.0
181,feminism T182,0.299,0.701,0.0,0.7159
182,feminism T183,0.0,1.0,0.0,0.0
183,feminism T184,0.239,0.761,0.0,0.296
184,feminism T185,0.0,0.931,0.069,-0.1027
185,feminism T186,0.0,1.0,0.0,0.0
186,feminism T187,0.098,0.902,0.0,0.3612
187,feminism T188,0.0,1.0,0.0,0.0
188,feminism T189,0.262,0.664,0.074,0.6249
189,feminism T190,0.138,0.862,0.0,0.3384
190,feminism T191,0.0,1.0,0.0,0.0
191,feminism T192,0.0,1.0,0.0,0.0
192,feminism T193,0.279,0.721,0.0,0.7003
193,feminism T194,0.24,0.76,0.0,0.7178
194,feminism T195,0.0,0.725,0.275,-0.6486
195,feminism T196,0.0,1.0,0.0,0.0
196,feminism T197,0.123,0.877,0.0,0.4215
197,feminism T198,0.221,0.581,0.198,0.1027
198,feminism T199,0.0,0.763,0.237,-0.4215
199,feminism T200,0.0,0.886,0.114,-0.3491
200,feminism T201,0.111,0.58,0.309,-0.7552
201,feminism T202,0.0,1.0,0.0,0.0
202,feminism T203,0.0,0.825,0.175,-0.5256
203,feminism T204,0.0,1.0,0.0,0.0
204,feminism T205,0.0,1.0,0.0,0.0
205,feminism T206,0.355,0.545,0.1,0.6808
206,feminism T207,0.101,0.559,0.341,-0.6486
207,feminism T208,0.0,1.0,0.0,0.0
208,feminism T209,0.109,0.786,0.105,0.0258
209,feminism T210,0.0,1.0,0.0,0.0
210,feminism T211,0.0,1.0,0.0,0.0
211,feminism T212,0.0,0.447,0.553,-0.9416
212,feminism T213,0.084,0.916,0.0,0.1406
213,feminism T214,0.104,0.896,0.0,0.296
214,feminism T215,0.368,0.632,0.0,0.8519
215,feminism T216,0.0,1.0,0.0,0.0
216,feminism T217,0.0,1.0,0.0,0.0
217,feminism T218,0.0,0.829,0.171,-0.4767
218,feminism T219,0.0,1.0,0.0,0.0
219,feminism T220,0.072,0.626,0.302,-0.8541
220,feminism T221,0.344,0.656,0.0,0.6369
221,feminism T222,0.288,0.582,0.13,0.765
222,feminism T223,0.106,0.509,0.384,-0.7184
223,feminism T224,0.0,1.0,0.0,0.0
224,feminism T225,0.0,1.0,0.0,0.0
225,feminism T226,0.0,0.76,0.24,-0.6249
226,feminism T227,0.181,0.819,0.0,0.6113
227,feminism T228,0.221,0.779,0.0,0.624
228,feminism T229,0.0,0.714,0.286,-0.3412
229,feminism T230,0.0,1.0,0.0,0.0
230,feminism T231,0.0,1.0,0.0,0.0
231,feminism T232,0.261,0.586,0.153,0.34
232,feminism T233,0.0,0.828,0.172,-0.128
233,feminism T234,0.0,0.684,0.316,-0.8074
234,feminism T235,0.0,1.0,0.0,0.0
235,feminism T236,0.0,1.0,0.0,0.0
236,feminism T237,0.0,1.0,0.0,0.0
237,feminism T238,0.0,1.0,0.0,0.0
238,feminism T239,0.0,1.0,0.0,0.0
239,feminism T240,0.0,1.0,0.0,0.0
240,feminism T241,0.0,1.0,0.0,0.0
241,feminism T242,0.122,0.878,0.0,0.4199
242,feminism T243,0.153,0.847,0.0,0.2023
243,feminism T244,0.0,1.0,0.0,0.0
244,feminism T245,0.0,1.0,0.0,0.0
245,feminism T246,0.0,1.0,0.0,0.0
246,feminism T247,0.0,0.848,0.152,-0.5267
247,feminism T248,0.0,0.566,0.434,-0.3182
248,feminism T249,0.412,0.588,0.0,0.743
249,Feminism T1,0.161,0.839,0.0,0.6597
250,Feminism T2,0.213,0.787,0.0,0.5859
251,Feminism T3,0.259,0.741,0.0,0.6739
252,Feminism T4,0.0,1.0,0.0,0.0
253,Feminism T5,0.0,0.455,0.545,-0.9186
254,Feminism T6,0.0,1.0,0.0,0.0
255,Feminism T7,0.0,1.0,0.0,0.0
256,Feminism T8,0.336,0.36,0.304,-0.0516
257,Feminism T9,0.0,0.867,0.133,-0.3182
258,Feminism T10,0.091,0.909,0.0,0.1779
259,Feminism T11,0.0,1.0,0.0,0.0
260,Feminism T12,0.204,0.622,0.173,-0.0772
261,Feminism T13,0.0,1.0,0.0,0.0
262,Feminism T14,0.0,1.0,0.0,0.0
263,Feminism T15,0.0,0.843,0.157,-0.4215
264,Feminism T16,0.163,0.714,0.122,0.2023
265,Feminism T17,0.0,0.744,0.256,-0.4767
266,Feminism T18,0.105,0.895,0.0,0.4019
267,Feminism T19,0.0,0.897,0.103,-0.1531
268,Feminism T20,0.128,0.872,0.0,0.3612
269,Feminism T21,0.0,1.0,0.0,0.0
270,Feminism T22,0.0,0.819,0.181,-0.6369
271,Feminism T23,0.176,0.714,0.11,0.34
272,Feminism T24,0.25,0.543,0.207,0.1027
273,Feminism T25,0.0,1.0,0.0,0.0
274,Feminism T26,0.0,0.682,0.318,-0.6369
275,Feminism T27,0.085,0.813,0.102,-0.1027
276,Feminism T28,0.33,0.67,0.0,0.8108
