,trial,Pos.,Neu.,Neg.,Summary
0,masculinity T1,0.427,0.573,0.0,0.8807
1,masculinity T2,0.0,1.0,0.0,0.0
2,masculinity T3,0.0,1.0,0.0,0.0
3,masculinity T4,0.0,1.0,0.0,0.0
4,masculinity T5,0.0,1.0,0.0,0.0
5,masculinity T6,0.0,1.0,0.0,0.0
6,masculinity T7,0.344,0.656,0.0,0.7506
7,masculinity T8,0.0,1.0,0.0,0.0
8,masculinity T9,0.221,0.531,0.248,-0.0772
9,masculinity T10,0.0,1.0,0.0,0.0
10,masculinity T11,0.0,0.813,0.187,-0.7427
11,masculinity T12,0.093,0.648,0.259,-0.6249
12,masculinity T13,0.435,0.565,0.0,0.9062
13,masculinity T14,0.162,0.838,0.0,0.4019
14,masculinity T15,0.0,1.0,0.0,0.0
15,masculinity T16,0.095,0.758,0.147,-0.2753
16,masculinity T17,0.0,0.822,0.178,-0.5994
17,masculinity T18,0.0,1.0,0.0,0.0
18,masculinity T19,0.0,0.867,0.133,-0.3182
19,masculinity T20,0.0,1.0,0.0,0.0
20,masculinity T21,0.101,0.557,0.341,-0.7096
21,masculinity T22,0.086,0.914,0.0,0.1531
22,masculinity T23,0.0,1.0,0.0,0.0
23,masculinity T24,0.15,0.85,0.0,0.4588
24,masculinity T25,0.356,0.585,0.059,0.7972
25,masculinity T26,0.0,0.699,0.301,-0.7845
26,masculinity T27,0.0,0.87,0.13,-0.4019
27,masculinity T28,0.0,1.0,0.0,0.0
28,masculinity T29,0.0,0.759,0.241,-0.6597
29,masculinity T30,0.314,0.502,0.184,0.4805
30,masculinity T31,0.0,0.476,0.524,-0.6597
31,masculinity T32,0.0,1.0,0.0,0.0
32,masculinity T33,0.407,0.593,0.0,0.8625
33,masculinity T34,0.0,0.868,0.132,-0.4404
34,masculinity T35,0.209,0.581,0.209,0.0
35,masculinity T36,0.0,1.0,0.0,0.0
36,masculinity T37,0.0,0.545,0.455,-0.6124
37,masculinity T38,0.0,1.0,0.0,0.0
38,masculinity T39,0.318,0.53,0.152,0.2075
39,masculinity T40,0.241,0.759,0.0,0.3612
40,masculinity T41,0.0,1.0,0.0,0.0
41,masculinity T42,0.139,0.861,0.0,0.4404
42,masculinity T43,0.47,0.53,0.0,0.9081
43,masculinity T44,0.156,0.844,0.0,0.5423
44,masculinity T45,0.087,0.42,0.493,-0.9118
45,masculinity T46,0.245,0.755,0.0,0.7351
46,masculinity T47,0.0,1.0,0.0,0.0
47,masculinity T48,0.234,0.766,0.0,0.7506
48,masculinity T49,0.113,0.742,0.145,-0.2023
49,masculinity T50,0.0,1.0,0.0,0.0
50,masculinity T51,0.0,0.641,0.359,-0.4215
51,masculinity T52,0.101,0.837,0.062,0.2263
52,masculinity T53,0.42,0.58,0.0,0.4404
53,masculinity T54,0.173,0.708,0.119,0.4939
54,masculinity T55,0.0,1.0,0.0,0.0
55,masculinity T56,0.138,0.628,0.234,-0.3182
56,masculinity T57,0.0,1.0,0.0,0.0
57,masculinity T58,0.0,0.708,0.292,-0.6557
58,masculinity T59,0.0,1.0,0.0,0.0
59,masculinity T60,0.0,1.0,0.0,0.0
60,masculinity T61,0.201,0.697,0.102,0.2815
61,masculinity T62,0.548,0.452,0.0,0.9022
62,masculinity T63,0.0,1.0,0.0,0.0
63,masculinity T64,0.112,0.609,0.279,-0.5109
64,masculinity T65,0.318,0.682,0.0,0.6794
65,masculinity T66,0.151,0.688,0.161,-0.0516
66,masculinity T67,0.122,0.878,0.0,0.3612
67,masculinity T68,0.0,0.303,0.697,-0.3182
68,masculinity T69,0.0,0.833,0.167,-0.3412
69,masculinity T70,0.17,0.83,0.0,0.5413
70,masculinity T71,0.127,0.873,0.0,0.4404
71,masculinity T72,0.0,1.0,0.0,0.0
72,masculinity T73,0.086,0.639,0.275,-0.5927
73,masculinity T74,0.124,0.78,0.096,0.1511
74,masculinity T75,0.398,0.417,0.186,0.6808
75,masculinity T76,0.0,1.0,0.0,0.0
76,masculinity T77,0.0,1.0,0.0,0.0
77,masculinity T78,0.117,0.883,0.0,0.4173
78,masculinity T79,0.153,0.847,0.0,0.4404
79,masculinity T80,0.0,1.0,0.0,0.0
80,masculinity T81,0.201,0.58,0.219,-0.1027
81,masculinity T82,0.0,1.0,0.0,0.0
82,masculinity T83,0.0,0.891,0.109,-0.296
83,masculinity T84,0.0,1.0,0.0,0.0
84,masculinity T85,0.133,0.867,0.0,0.3818
85,masculinity T86,0.245,0.623,0.132,0.4767
86,masculinity T87,0.407,0.593,0.0,0.8625
87,masculinity T88,0.0,1.0,0.0,0.0
88,masculinity T89,0.0,1.0,0.0,0.0
